,administrador,usuario,presionó botón correcto,tiempo de interacción,mini juego,número de interacción por lección,color presionado,dificultad,fecha,juego,auto push,tiempo de lección,tiempo de sesión
2069,1,28,1,0.6749635,8,1,3,1,1969-12-31 18:00:45.627,2,1,0.0,0.0
2070,1,28,2,0.6919016,8,2,4,1,1969-12-31 18:00:45.627,2,1,0.0,0.0
2071,1,28,2,15.86773,8,3,2,1,1969-12-31 18:00:45.627,2,1,0.0,0.0
2072,1,28,1,30.53514,8,4,2,1,1969-12-31 18:00:45.627,2,1,0.0,0.0
2073,1,28,2,41.31924,8,5,3,1,1969-12-31 18:00:45.627,2,3,0.0,0.0
2074,1,28,2,15.88372,8,6,1,1,1969-12-31 18:00:45.627,2,1,0.0,0.0
2075,1,28,3,999.0,8,0,5,1,1969-12-31 18:00:45.627,2,2,97.27682,9999.0
2076,1,28,1,7.760585,8,1,3,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2077,1,28,2,24.0945,8,2,2,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2078,1,28,1,5.517372,8,3,2,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2079,1,28,1,9.284384,8,4,2,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2080,1,28,1,14.91762,8,5,2,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2081,1,28,2,16.46754,8,6,1,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2082,1,28,1,5.917564,8,7,2,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2083,1,28,1,37.4527,8,8,2,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2084,1,28,2,37.70229,8,9,3,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2085,1,28,1,18.11772,8,10,2,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2086,1,28,1,31.55168,8,11,2,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2087,1,28,2,40.23585,8,12,4,2,1969-12-31 18:00:45.627,2,3,0.0,0.0
2088,1,28,3,999.0,8,0,5,2,1969-12-31 18:00:45.627,2,2,141.8184,9999.0
2089,1,28,2,14.33899,8,1,4,3,1969-12-31 18:00:45.627,2,1,0.0,0.0
2090,1,28,3,999.0,8,0,5,3,1969-12-31 18:00:45.627,2,2,24.59016,9999.0
2091,1,28,3,999.0,10,0,5,3,1969-12-31 18:00:45.627,2,2,999.0,364.6975
2092,1,28,2,5.232136,8,1,4,1,1969-12-31 18:00:45.627,2,1,0.0,0.0
2093,1,28,1,9.267223,8,2,3,1,1969-12-31 18:00:45.627,2,1,0.0,0.0
2094,1,28,2,24.36813,8,3,2,1,1969-12-31 18:00:45.627,2,1,0.0,0.0
2095,1,28,2,0.6834264,8,4,3,1,1969-12-31 18:00:45.627,2,1,0.0,0.0
2096,1,28,1,7.633584,8,5,2,1,1969-12-31 18:00:45.627,2,1,0.0,0.0
2097,1,28,1,15.4009,8,6,2,1,1969-12-31 18:00:45.627,2,1,0.0,0.0
2098,1,28,2,17.25091,8,7,1,1,1969-12-31 18:00:45.627,2,1,0.0,0.0
2099,1,28,3,999.0,8,0,5,1,1969-12-31 18:00:45.627,2,2,70.63625,9999.0
2100,1,28,1,4.359559,8,1,1,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2101,1,28,2,13.77683,8,2,2,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2102,1,28,1,1.666652,8,3,2,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2103,1,28,1,11.46778,8,4,3,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2104,1,28,2,16.53415,8,5,1,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2105,1,28,2,11.23409,8,6,3,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2106,1,28,2,7.300333,8,7,4,2,1969-12-31 18:00:45.627,2,1,0.0,0.0
2107,1,28,3,999.0,8,0,5,2,1969-12-31 18:00:45.627,2,2,72.21413,9999.0
2108,1,28,1,8.289087,8,1,2,3,1969-12-31 18:00:45.627,2,1,0.0,0.0
2109,1,28,2,19.65653,8,2,1,3,1969-12-31 18:00:45.627,2,1,0.0,0.0
2110,1,28,2,5.533774,8,3,2,3,1969-12-31 18:00:45.627,2,1,0.0,0.0
2111,1,28,1,5.767172,8,4,1,3,1969-12-31 18:00:45.627,2,1,0.0,0.0
2112,1,28,1,9.667708,8,5,1,3,1969-12-31 18:00:45.627,2,1,0.0,0.0
2113,1,28,2,14.23441,8,6,4,3,1969-12-31 18:00:45.627,2,1,0.0,0.0
2114,1,28,2,11.71804,8,7,1,3,1969-12-31 18:00:45.627,2,1,0.0,0.0
2115,1,28,2,17.2511,8,8,1,3,1969-12-31 18:00:45.627,2,1,0.0,0.0
2116,1,28,3,999.0,8,0,5,3,1969-12-31 18:00:45.627,2,2,90.11128,9999.0
2117,1,28,3,999.0,10,0,5,4,1969-12-31 18:00:45.627,2,2,999.0,326.6476
